epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,5626.15,1.51925,1.05602,0.90422,0.4238,0.33173,0.32638,0.18771,1.452,1.04381,0.89839,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,5735.25,1.52625,1.0581,0.9027,0.43112,0.32836,0.32744,0.18761,1.45364,1.04312,0.8984,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,5844.55,1.50924,1.04735,0.90453,0.43683,0.32717,0.3282,0.18759,1.4548,1.04414,0.89832,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,5953.44,1.51852,1.05121,0.9016,0.44458,0.32552,0.32994,0.18952,1.45326,1.03828,0.89858,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,6062.67,1.51597,1.04822,0.90179,0.42089,0.33218,0.32532,0.18744,1.45643,1.04614,0.89935,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,6171.73,1.50176,1.0436,0.90421,0.43771,0.323,0.32545,0.18809,1.44673,1.0455,0.89827,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,6281.2,1.50505,1.04545,0.90222,0.44477,0.32479,0.32937,0.18965,1.44905,1.03759,0.89789,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,6391.05,1.50585,1.04418,0.90246,0.43223,0.33276,0.33053,0.1904,1.44618,1.03758,0.89704,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,6499.99,1.5097,1.04115,0.9012,0.43804,0.33365,0.33124,0.19019,1.44291,1.03413,0.89687,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,6609.07,1.50592,1.03479,0.90068,0.44932,0.32744,0.33355,0.19274,1.44203,1.0303,0.89803,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
